hour,rent,return,low_power_bike_count,soon_low_power_bike_count,normal_power_bike_count
0,0.6379979743416611,0.6798615800135044,0.026839972991222146,0.5400911546252533,4.075624577987846
1,0.38690074274139097,0.41171505739365294,0.020425388251181634,0.5336765698852127,4.093349088453747
2,0.2968433490884537,0.30815327481431465,0.014939230249831195,0.4550135043889264,4.176907494935854
3,0.20298784604996623,0.21218771100607697,0.011731937879810939,0.4062288993923025,4.2266205266711685
4,0.14795746117488184,0.1551316677920324,0.010887913571910872,0.38453747467927074,4.25016880486158
5,0.200202565833896,0.17927076299797434,0.011309925725860905,0.3593855503038488,4.277261985145172
6,0.7458642808912896,0.6136056718433491,0.012322754895340985,0.3810769750168805,4.2575962187711
7,2.863858879135719,2.4805030384875084,0.012153950033760972,0.3861411208642809,4.2483119513842
8,3.37457798784605,3.4897029034436193,0.016711681296421338,0.4172856178257934,4.168129642133693
9,2.3609047940580687,2.4599088453747466,0.01899054692775152,0.4425219446320054,4.1340310600945305
10,2.0570560432140446,2.0437204591492235,0.016542876434841324,0.4239534098582039,4.178511141120865
11,2.4709640892914915,2.3277256551277903,0.013021675833063734,0.4042381106438046,4.228728566806859
12,2.9832786622929834,2.9755980478438273,0.010160812865029203,0.3742699415953276,4.268981518521482
13,3.1457716617329385,3.077686214897192,0.010560844867589406,0.37378990319225536,4.282742619409553
14,3.0587246979758382,3.097527802224178,0.01168093447475798,0.40147211776942154,4.238899111928954
15,3.0600048003840308,2.9914393151452114,0.012881030482438596,0.3656292503400272,4.279062324985999
16,3.476598127850228,3.30538443075446,0.017201376110088807,0.4053124249939995,4.2367389391151296
17,5.244499559964797,4.903272261780942,0.021201696135690857,0.45035602848227857,4.197935834866789
18,5.065765261220898,5.380350428034243,0.025682054564365148,0.4826786142891431,4.15913273061845
19,3.6883750700056006,3.802944235538843,0.03728298263861109,0.5720457636610928,4.056324505960477
20,3.1730538443075447,3.290743259460757,0.04304344347547804,0.5991679334346748,4.011200896071686
21,2.3621889751180096,2.5130010400832066,0.04528362268981519,0.6590127210176814,3.939915193215457
22,1.5654052324185934,1.6949355948475877,0.04448355868469477,0.6802144171533723,3.9108728698295865
23,0.9143131450516041,0.9840787262981039,0.03920313625090007,0.6199695975678055,3.9797583806704537
